key	es	en	pt	fr	de	it	ja	ko	zh	ru	ar
ns.on	Modo no-apagar: ACTIVADO\nLa pantalla no se apagará	No-sleep mode: ON\nThe screen will not turn off	Modo no-dormir: ATIVADO\nA tela não desligará	Mode anti-veille : ACTIVÉ\nL'écran ne s'éteindra pas	No-Sleep-Modus: AKTIVIERT\nDer Bildschirm wird nicht ausgehen	Modalità no-sleep: ATTIVATA\nLo schermo non si spegnerà	スリープなしモード: オン\n画面は消えません	슬립 방지 모드: 켜짐\n화면이 꺼지지 않습니다	无休眠模式：已开启\n屏幕不会熄灭	Режим без сна: ВКЛ\nЭкран не погаснет	وضع عدم السكون: مفعّل\nلن تنطفئ الشاشة
wp.dir_missing	No existe %s	%s does not exist	Não existe %s	%s n'existe pas	%s existiert nicht	%s non esiste	%s が存在しません	%s이(가) 없습니다	%s 不存在	%s не существует	%s غير موجود
wp.prompt	Fondo de pantalla	Wallpaper	Papel de parede	Fond d'écran	Hintergrundbild	Sfondo	壁紙	배경화면	壁纸	Обои	خلفية الشاشة
wp.changed	Cambiado a %s	Changed to %s	Alterado para %s	Changé à %s	Geändert zu %s	Modificato a %s	%s に変更しました	%s(으)로 변경됨	已更改为 %s	Изменено на %s	تم التغيير إلى %s
sddm.prompt	Fondo SDDM	SDDM Wallpaper	Papel de parede do SDDM	Fond d'écran SDDM	SDDM-Hintergrundbild	Sfondo SDDM	SDDM 壁紙	SDDM 배경화면	SDDM 壁纸	Обои SDDM	خلفية SDDM
sddm.changed	Cambiado a %s (requiere reinicio)	Changed to %s (restart required)	Alterado para %s (requer reinicialização)	Changé à %s (redémarrage requis)	Geändert zu %s (Neustart erforderlich)	Modificato a %s (riavvio richiesto)	%s に変更しました（再起動が必要）	%s(으)로 변경됨(재시작 필요)	已更改为 %s（需要重启）	Изменено на %s (требуется перезагрузка)	تم التغيير إلى %s (يلزم إعادة تشغيل)
cb.prompt	Portapapeles	Clipboard	Área de transferência	Presse-papiers	Zwischenablage	Appunti	クリップボード	클립보드	剪贴板	Буфер обмена	الحافظة
ac.title	Acento	Accent	Acento	Accent	Akzentfarbe	Accento	アクセントカラー	강조 색	强调色	Акцент	اللون المميز
ac.switched	Cambiado a <span color='%s'>■</span> %s	Switched to <span color='%s'>■</span> %s	Alterado para <span color='%s'>■</span> %s	Passé à <span color='%s'>■</span> %s	Gewechselt zu <span color='%s'>■</span> %s	Passato a <span color='%s'>■</span> %s	<span color='%s'>■</span> %s に変更しました	<span color='%s'>■</span> %s(으)로 변경됨	已切换到 <span color='%s'>■</span> %s	Изменено на <span color='%s'>■</span> %s	تم التبديل إلى <span color='%s'>■</span> %s
tb.title	Desenfoque	Blur	Desfoque	Flou	Unschärfe	Sfocatura	ぼかし	흐림	模糊	Размытие	ضبابية
tb.activated	Activado	Activated	Ativado	Activé	Aktiviert	Attivato	有効化	활성화됨	已启用	Включено	مفعّل
tb.deactivated	Desactivado	Deactivated	Desativado	Désactivé	Deaktiviert	Disattivato	無効化	비활성화됨	已禁用	Выключено	معطّل
ttr.title	Transparencia	Transparency	Transparência	Transparence	Transparenz	Trasparenza	透明度	투명도	透明度	Прозрачность	الشفافية
dash.stats	Estadísticas	Stats	Estatísticas	Statistiques	Statistiken	Statistiche	統計	통계	统计	Статистика	إحصائيات
dash.tasks	Tareas	Tasks	Tarefas	Tâches	Aufgaben	Attività	タスク	할 일	任务	Задачи	المهام
dash.tasks_done	completadas	completed	concluídas	terminées	erledigt	completate	完了	완료됨	已完成	выполнено	مكتملة
dash.no_tasks	No hay tareas pendientes	No pending tasks	Nenhuma tarefa pendente	Aucune tâche en attente	Keine offenen Aufgaben	Nessuna attività in sospeso	保留中のタスクはありません	대기 중인 할 일 없음	没有待办任务	Нет незавершённых задач	لا توجد مهام معلقة
dash.tasks_pending_title	Tareas pendientes	Pending Tasks	Tarefas pendentes	Tâches en attente	Offene Aufgaben	Attività in sospeso	保留中のタスク	대기 중인 할 일	待办任务	Незавершённые задачи	المهام المعلقة
dash.press_enter_exit	Presiona Enter para salir...	Press Enter to exit...	Pressione Enter para sair...	Appuyez sur Entrée pour quitter...	Drücke Enter zum Beenden...	Premi Invio per uscire...	終了するには Enter キーを押してください...	종료하려면 Enter를 누르세요...	按回车退出...	Нажмите Enter, чтобы выйти...	اضغط Enter للخروج...
dash.notifications	Notificaciones	Notifications	Notificações	Notifications	Benachrichtigungen	Notifiche	通知	알림	通知	Уведомления	الإشعارات
dash.no_notifs	¡No tienes notificaciones!	You have no notifs!	Você não tem notificações!	Vous n'avez aucune notification !	Du hast keine Benachrichtigungen!	Non hai notifiche!	通知はありません！	알림이 없습니다!	您没有通知！	У вас нет уведомлений!	لا توجد لديك إشعارات!
dash.notification	Notificación	Notification	Notificação	Notification	Benachrichtigung	Notifica	通知	알림	通知	Уведомление	إشعار
dash.nothing_playing	Nada sonando	Nothing Playing	Nada tocando	Rien en lecture	Nichts wird abgespielt	Nessuna riproduzione	再生中なし	재생 중 없음	没有正在播放	Ничего не играет	لا شيء قيد التشغيل
dash.now_playing	Sonando ahora	Now Playing	Tocando agora	En lecture	Jetzt spielt	In riproduzione	再生中	재생 중	正在播放	Сейчас играет	قيد التشغيل الآن
dash.music	Música	Music	Música	Musique	Musik	Musica	音楽	음악	音乐	Музыка	موسيقى
dash.disk	Disco	Disk	Disco	Disque	Festplatte	Disco	ディスク	디스크	磁盘	Диск	القرص
dash.disk_title	Disco %s	Disk %s	Disco %s	Disque %s	Festplatte %s	Disco %s	ディスク %s	디스크 %s	磁盘 %s	Диск %s	القرص %s
dash.loading	Cargando...	Loading...	Carregando...	Chargement...	Laden...	Caricamento...	読み込み中...	불러오는 중...	正在加载...	Загрузка...	جارٍ التحميل...
dash.date_fmt	%s de %s	%s %s	%s de %s	%s %s	%s. %s	%s %s	%s月%s日	%s월 %s일	%s月%s日	%s %s	%s %s
dw.increase	Aumentar	Increase	Aumentar	Augmenter	Vergrößern	Aumenta	拡大	크게	增大	Увеличить	تكبير
dw.decrease	Disminuir	Decrease	Diminuir	Diminuer	Verkleinern	Riduci	縮小	작게	减小	Уменьшить	تصغير
dw.hide	Ocultar	Hide	Ocultar	Masquer	Ausblenden	Nascondi	非表示	숨기기	隐藏	Скрыть	إخفاء
dw.colors	Colores	Colors	Cores	Couleurs	Farben	Colori	色	색상	颜色	Цвета	الألوان
dw.color_white	Blanco	White	Branco	Blanc	Weiß	Bianco	白	흰색	白色	Белый	أبيض
dw.color_black	Negro	Black	Preto	Noir	Schwarz	Nero	黒	검정	黑色	Чёрный	أسود
dw.color_cyan	Cian	Cyan	Ciano	Cyan	Cyan	Ciano	シアン	시안	青色	Голубой	سماوي
dw.color_blue	Azul	Blue	Azul	Bleu	Blau	Blu	青	파랑	蓝色	Синий	أزرق
dw.color_purple	Púrpura	Purple	Roxo	Violet	Violett	Porpora	紫	보라	紫色	Фиолетовый	بنفسجي
dw.color_green	Verde	Green	Verde	Vert	Grün	Verde	緑	초록	绿色	Зелёный	أخضر
dw.color_yellow	Amarillo	Yellow	Amarelo	Jaune	Gelb	Giallo	黄	노랑	黄色	Жёлтый	أصفر
dw.color_red	Rojo	Red	Vermelho	Rouge	Rot	Rosso	赤	빨강	红色	Красный	أحمر
dw.color_gray	Gris	Gray	Cinza	Gris	Grau	Grigio	グレー	회색	灰色	Серый	رمادي
dw.date_toggle	Fecha: %s	Date: %s	Data: %s	Date : %s	Datum: %s	Data: %s	日付: %s	날짜: %s	日期：%s	Дата: %s	التاريخ: %s
dw.time_toggle	Hora: %s	Time: %s	Hora: %s	Heure : %s	Uhrzeit: %s	Ora: %s	時刻: %s	시간: %s	时间：%s	Время: %s	الوقت: %s
widget.no_data	Sin datos	No data	Sem dados	Aucune donnée	Keine Daten	Nessun dato	データなし	데이터 없음	无数据	Нет данных	لا توجد بيانات
widget.calculator	Calculadora	Calculator	Calculadora	Calculatrice	Taschenrechner	Calcolatrice	電卓	계산기	计算器	Калькулятор	آلة حاسبة
widget.calculator_error	Error de calculadora	Calculator Error	Erro da calculadora	Erreur de calculatrice	Taschenrechner-Fehler	Errore della calcolatrice	電卓エラー	계산기 오류	计算器错误	Ошибка калькулятора	خطأ الآلة الحاسبة
widget.resources_error	Error de recursos	Resources Error	Erro de recursos	Erreur de ressources	Ressourcen-Fehler	Errore delle risorse	リソースエラー	리소스 오류	资源错误	Ошибка ресурсов	خطأ الموارد
widget.unknown	Desconocido	Unknown	Desconhecido	Inconnu	Unbekannt	Sconosciuto	不明	알 수 없음	未知	Неизвестно	غير معروف
nif.empty	¿Sin notificaciones? :(	NO NOTIFICATIONS? :(	Sem notificações? :(	Aucune notification ? :(	Keine Benachrichtigungen? :(	Nessuna notifica? :(	通知がありません :(	알림이 없습니다 :(	没有通知 :(	Нет уведомлений :(	لا توجد إشعارات :(
tb.vpn_checking	VPN: Comprobando...	VPN: Checking...	VPN: Verificando...	VPN : Vérification...	VPN: Prüfe...	VPN: Controllo...	VPN: 確認中...	VPN: 확인 중...	VPN：正在检查...	VPN: Проверка...	VPN: جارٍ الفحص...
tb.vpn_connected	VPN: Conectado (%s)	VPN: Connected (%s)	VPN: Conectado (%s)	VPN : Connecté (%s)	VPN: Verbunden (%s)	VPN: Connesso (%s)	VPN: 接続済み (%s)	VPN: 연결됨 (%s)	VPN：已连接 (%s)	VPN: Подключено (%s)	VPN: متصل (%s)
tb.vpn_disconnected	VPN: Desconectado	VPN: Disconnected	VPN: Desconectado	VPN : Déconnecté	VPN: Getrennt	VPN: Disconnesso	VPN: 切断済み	VPN: 연결 안 됨	VPN：已断开	VPN: Отключено	VPN: غير متصل
tb.public_ip	IP pública	Public IP	IP público	IP publique	Öffentliche IP	IP pubblica	パブリック IP	공개 IP	公网 IP	Публичный IP	عنوان IP العام
tb.public_ip_value	IP pública: %s	Public IP: %s	IP público: %s	IP publique : %s	Öffentliche IP: %s	IP pubblica: %s	パブリック IP: %s	공개 IP: %s	公网 IP：%s	Публичный IP: %s	عنوان IP العام: %s
tb.wifi_checking	WiFi: Comprobando...	WiFi: Checking...	WiFi: Verificando...	WiFi : Vérification...	WiFi: Prüfe...	WiFi: Controllo...	WiFi: 確認中...	WiFi: 확인 중...	WiFi：正在检查...	WiFi: Проверка...	WiFi: جارٍ الفحص...
tb.wifi_ssid	WiFi: %s	WiFi: %s	WiFi: %s	WiFi : %s	WiFi: %s	WiFi: %s	WiFi: %s	WiFi: %s	WiFi：%s	WiFi: %s	WiFi: %s
tb.wifi_disconnected	WiFi: Desconectado	WiFi: Disconnected	WiFi: Desconectado	WiFi : Déconnecté	WiFi: Getrennt	WiFi: Disconnesso	WiFi: 切断済み	WiFi: 연결 안 됨	WiFi：已断开	WiFi: Отключено	WiFi: غير متصل
tb.wifi_off	WiFi: Apagado	WiFi: Off	WiFi: Desligado	WiFi : Éteint	WiFi: Aus	WiFi: Spento	WiFi: オフ	WiFi: 꺼짐	WiFi：已关闭	WiFi: Выключено	WiFi: مغلق
ov.title	Vista general	Overview	Visão geral	Aperçu	Übersicht	Panoramica	概要	개요	概览	Обзор	نظرة عامة
bl.on	Bluetooth encendido	Bluetooth on	Bluetooth ligado	Bluetooth activé	Bluetooth an	Bluetooth attivo	Bluetooth オン	Bluetooth 켜짐	蓝牙已开启	Bluetooth включён	بلوتوث مفعّل
bl.off	Bluetooth apagado	Bluetooth off	Bluetooth desligado	Bluetooth désactivé	Bluetooth aus	Bluetooth spento	Bluetooth オフ	Bluetooth 꺼짐	蓝牙已关闭	Bluetooth выключен	بلوتوث مطفأ
bl.discoverable_on	Descubrimiento activo	Discoverable	Visível	Détectable	Sichtbar	Rilevabile	検出可能	검색 가능	可被发现	Обнаружимый	قابل للاكتشاف
bl.discoverable_off	Descubrimiento inactivo	Hidden	Oculto	Masqué	Versteckt	Nascosto	非表示	숨김	隐藏	Скрытый	مخفي
bl.connect	Conectar	Connect	Conectar	Connecter	Verbinden	Connetti	接続	연결	连接	Подключить	اتصال
bl.disconnect	Desconectar	Disconnect	Desconectar	Déconnecter	Trennen	Disconnetti	切断	연결 끊기	断开	Отключить	قطع الاتصال
bl.send_file	Enviar archivo...	Send file...	Enviar arquivo...	Envoyer un fichier...	Datei senden...	Invia file...	ファイルを送信...	파일 보내기...	发送文件...	Отправить файл...	إرسال ملف...
bl.sending	Enviando a %s...	Sending to %s...	Enviando para %s...	Envoi vers %s...	Sende an %s...	Invio a %s...	%s に送信中...	%s로 보내는 중...	正在发送到 %s...	Отправка в %s...	جارٍ الإرسال إلى %s...
bl.sink	Salida de audio	Audio output	Saída de áudio	Sortie audio	Audio-Ausgabe	Uscita audio	音声出力	오디오 출력	音频输出	Выход аудио	خرج الصوت
bl.source	Micrófono	Microphone	Microfone	Microphone	Mikrofon	Microfono	マイク	마이크	麦克风	Микрофон	ميكروفون
bl.forget	Olvidar dispositivo	Forget device	Esquecer dispositivo	Oublier l'appareil	Gerät vergessen	Dimentica dispositivo	デバイスを忘れる	장치 잊기	忘记设备	Забыть устройство	نسيان الجهاز
bl.forget_confirm	¿Olvidar %s?	Forget %s?	Esquecer %s?	Oublier %s ?	%s vergessen?	Dimenticare %s?	%s を忘れますか？	%s를 잊을까요?	忘记 %s？	Забыть %s?	نسيان %s؟
bl.forgotten	Dispositivo olvidado: %s	Device forgotten: %s	Dispositivo esquecido: %s	Appareil oublié : %s	Gerät vergessen: %s	Dispositivo dimenticato: %s	%s を忘れました	%s 장치를 잊었습니다	已忘记设备：%s	Устройство забыто: %s	تم نسيان الجهاز: %s
bl.type_phone	Teléfono	Phone	Telefone	Téléphone	Telefon	Telefono	電話	전화	电话	Телефон	هاتف
bl.type_computer	Computadora	Computer	Computador	Ordinateur	Computer	Computer	コンピューター	컴퓨터	电脑	Компьютер	كمبيوتر
bl.type_audio	Audio	Audio	Áudio	Audio	Audio	Audio	オーディオ	오디오	音频	Аудио	صوت
bl.type_input	Periférico	Input device	Dispositivo de entrada	Périphérique	Eingabegerät	Periferica	入力デバイス	입력 장치	输入设备	Устройство ввода	جهاز إدخال
bl.type_unknown	Dispositivo	Device	Dispositivo	Appareil	Gerät	Dispositivo	デバイス	장치	设备	Устройство	جهاز
bl.sink_set	Salida de audio: %s	Audio output: %s	Saída de áudio: %s	Sortie audio : %s	Audio-Ausgabe: %s	Uscita audio: %s	音声出力: %s	오디오 출력: %s	音频输出：%s	Выход аудио: %s	خرج الصوت: %s
bl.source_set	Micrófono: %s	Microphone: %s	Microfone: %s	Microphone : %s	Mikrofon: %s	Microfono: %s	マイク: %s	마이크: %s	麦克风：%s	Микрофон: %s	ميكروفون: %s
bl.no_sink	No hay salida de audio Bluetooth	No Bluetooth audio output	Sem saída de áudio Bluetooth	Aucune sortie audio Bluetooth	Keine Bluetooth-Audioausgabe	Nessuna uscita audio Bluetooth	Bluetooth 音声出力がありません	Bluetooth 오디오 출력 없음	没有蓝牙音频输出	Нет Bluetooth-аудиовыхода	لا يوجد مخرج صوت بلوتوث
bl.no_source	No hay micrófono Bluetooth	No Bluetooth microphone	Sem microfone Bluetooth	Aucun microphone Bluetooth	Kein Bluetooth-Mikrofon	Nessun microfono Bluetooth	Bluetooth マイクがありません	Bluetooth 마이크 없음	没有蓝牙麦克风	Нет Bluetooth-микрофона	لا يوجد ميكروفون بلوتوث
bl.need_obex	Instala bluez-obex para enviar archivos	Install bluez-obex to send files	Instale bluez-obex para enviar arquivos	Installez bluez-obex pour envoyer des fichiers	bluez-obex installieren, um Dateien zu senden	Installa bluez-obex per inviare file	ファイル送信には bluez-obex が必要です	파일 보내기: bluez-obex 설치 필요	发送文件需要安装 bluez-obex	Установите bluez-obex для отправки файлов	ثبّت bluez-obex لإرسال الملفات
bl.unnamed	Dispositivo desconocido	Unknown device	Dispositivo desconhecido	Appareil inconnu	Unbekanntes Gerät	Dispositivo sconosciuto	不明なデバイス	알 수 없는 장치	未知设备	Неизвестное устройство	جهاز غير معروف
cb.copy	Copiar	Copy	Copiar	Copier	Kopieren	Copia	コピー	복사	复制	Копировать	نسخ
cb.delete	Borrar entrada	Delete entry	Excluir item	Supprimer l'entrée	Eintrag löschen	Elimina voce	エントリを削除	항목 삭제	删除条目	Удалить запись	حذف الإدخال
cb.clear	Limpiar historial	Clear history	Limpar histórico	Vider l'historique	Verlauf löschen	Svuota cronologia	履歴をクリア	기록 지우기	清除历史	Очистить историю	مسح السجل
cb.clear_confirm	¿Borrar todo el historial del portapapeles?	Clear the entire clipboard history?	Limpar todo o histórico da área de transferência?	Vider tout l'historique du presse-papiers ?	Gesamten Verlauf der Zwischenablage löschen?	Svuotare l'intera cronologia degli appunti?	クリップボード履歴をすべて削除しますか？	클립보드 기록을 모두 지울까요?	清除整个剪贴板历史？	Очистить всю историю буфера обмена?	مسح كامل سجل الحافظة؟
cb.cleared	Historial del portapapeles vaciado	Clipboard history cleared	Histórico da área de transferência limpo	Historique du presse-papiers vidé	Zwischenablage-Verlauf geleert	Cronologia degli appunti svuotata	クリップボード履歴を消去しました	클립보드 기록을 지웠습니다	剪贴板历史已清除	История буфера обмена очищена	تم مسح سجل الحافظة
cb.empty	Sin historial	No history	Sem histórico	Aucun historique	Kein Verlauf	Nessuna cronologia	履歴がありません	기록 없음	无历史记录	Нет истории	لا يوجد سجل
cb.back	Atrás	Back	Voltar	Retour	Zurück	Indietro	戻る	뒤로	返回	Назад	رجوع
cb.exit	Salir	Exit	Sair	Quitter	Beenden	Esci	終了	나가기	退出	Выход	خروج
cb.copied	Copiado al portapapeles	Copied to clipboard	Copiado para a área de transferência	Copié dans le presse-papiers	In die Zwischenablage kopiert	Copiato negli appunti	クリップボードにコピーしました	클립보드에 복사됨	已复制到剪贴板	Скопировано в буфер обмена	تم النسخ إلى الحافظة
